booking_id,customer_id,booking_date,departure_date,origin,destination,route,booking_channel,trip_type,customer_type,loyalty_tier,passengers,base_fare_sar,ancillary_revenue_sar,total_revenue_sar,lead_time_days,repeat_customer,lead_time_band
B00180,C0162,2025-07-21,2025-09-06,RUH,DXB,RUH-DXB,Mobile App,One-way,Leisure,Basic,4,1992,316,2308,47,Yes,46–90 days
B00181,C0046,2025-03-11,2025-05-24,JED,DMM,JED-DMM,Travel Agent,One-way,Business,No membership,1,333,68,401,74,Yes,46–90 days
B00182,C0198,2025-08-10,2025-10-12,JED,DMM,JED-DMM,Website,Return,Visiting friends and relatives,No membership,1,283,59,342,63,No,46–90 days
B00183,C0243,2025-01-24,2025-02-08,DXB,RUH,DXB-RUH,Website,Return,Leisure,No membership,1,621,75,696,15,No,8–21 days
B00184,C0053,2025-10-18,2025-11-05,DMM,JED,DMM-JED,Mobile App,Return,Business,Basic,1,293,55,348,18,Yes,8–21 days
B00185,C0234,2025-10-31,2025-11-08,RUH,IST,RUH-IST,Website,Return,Visiting friends and relatives,Basic,2,1907,168,2075,8,Yes,8–21 days
B00186,C0001,2025-10-02,2025-11-26,IST,RUH,IST-RUH,Online Travel Agency,One-way,Leisure,Silver,2,1703,216,1919,55,Yes,46–90 days
B00187,C0306,2025-08-20,2025-09-20,IST,RUH,IST-RUH,Mobile App,One-way,Leisure,No membership,1,875,113,988,31,Yes,22–45 days
B00188,C0019,2025-02-24,2025-04-04,JED,CAI,JED-CAI,Mobile App,One-way,Leisure,Basic,1,600,95,695,39,Yes,22–45 days
B00189,C0089,2025-02-05,2025-04-23,JED,RUH,JED-RUH,Website,Return,Business,Basic,1,254,78,332,77,Yes,46–90 days
B00190,C0105,2025-12-28,2026-03-17,JED,DMM,JED-DMM,Website,Return,Leisure,No membership,2,602,120,722,79,Yes,46–90 days
B00191,C0131,2025-07-26,2025-08-07,JED,CAI,JED-CAI,Travel Agent,Return,Leisure,Basic,1,753,67,820,12,Yes,8–21 days
B00192,C0126,2025-05-14,2025-08-03,IST,RUH,IST-RUH,Mobile App,One-way,Leisure,Basic,1,756,61,817,81,Yes,46–90 days
B00193,C0051,2025-06-19,2025-07-16,JED,DMM,JED-DMM,Mobile App,Return,Business,No membership,1,290,40,330,27,Yes,22–45 days
B00194,C0321,2025-01-22,2025-02-04,JED,CAI,JED-CAI,Travel Agent,One-way,Leisure,Basic,1,814,84,898,13,Yes,8–21 days
B00195,C0179,2025-12-17,2025-12-29,RUH,DXB,RUH-DXB,Online Travel Agency,One-way,Leisure,No membership,3,1558,152,1710,12,No,8–21 days
B00196,C0118,2025-09-20,2025-11-09,JED,RUH,JED-RUH,Website,Return,Business,No membership,2,501,108,609,50,Yes,46–90 days
B00197,C0108,2025-05-04,2025-07-14,RUH,JED,RUH-JED,Mobile App,Return,Leisure,No membership,1,243,127,370,71,Yes,46–90 days
B00198,C0149,2025-09-05,2025-10-02,JED,CAI,JED-CAI,Travel Agent,Return,Business,Basic,2,1340,95,1435,27,Yes,22–45 days
B00199,C0243,2025-03-23,2025-05-09,DXB,RUH,DXB-RUH,Online Travel Agency,Return,Visiting friends and relatives,Silver,2,968,181,1149,47,Yes,46–90 days
B00200,C0118,2025-07-25,2025-07-29,IST,RUH,IST-RUH,Mobile App,One-way,Leisure,Silver,2,2251,176,2427,4,Yes,1–7 days
B00201,C0076,2025-08-01,2025-08-06,RUH,IST,RUH-IST,Online Travel Agency,Return,Leisure,Gold,2,2245,218,2463,5,Yes,1–7 days
B00202,C0248,2025-08-17,2025-08-26,DXB,RUH,DXB-RUH,Online Travel Agency,Return,Business,No membership,1,546,89,635,9,No,8–21 days
B00203,C0305,2025-12-28,2026-02-27,DMM,JED,DMM-JED,Mobile App,One-way,Leisure,Basic,1,318,73,391,61,Yes,46–90 days
B00204,C0212,2025-06-06,2025-07-26,IST,RUH,IST-RUH,Mobile App,Return,Visiting friends and relatives,Basic,2,1715,225,1940,50,Yes,46–90 days
B00205,C0007,2025-09-08,2025-09-29,CAI,JED,CAI-JED,Mobile App,One-way,Leisure,Basic,4,2839,421,3260,21,Yes,8–21 days
B00206,C0258,2025-06-07,2025-06-30,RUH,JED,RUH-JED,Mobile App,One-way,Visiting friends and relatives,No membership,3,709,424,1133,23,No,22–45 days
B00207,C0319,2025-07-07,2025-09-25,RUH,DXB,RUH-DXB,Mobile App,One-way,Leisure,Basic,1,448,71,519,80,Yes,46–90 days
B00208,C0045,2025-10-29,2026-01-08,RUH,TBS,RUH-TBS,Mobile App,Return,Leisure,Basic,2,1478,153,1631,71,Yes,46–90 days
B00209,C0125,2025-02-21,2025-05-09,RUH,TBS,RUH-TBS,Mobile App,One-way,Leisure,No membership,4,2855,269,3124,77,Yes,46–90 days
B00210,C0124,2025-05-30,2025-06-23,JED,CAI,JED-CAI,Travel Agent,One-way,Leisure,No membership,3,2042,328,2370,24,Yes,22–45 days
B00211,C0214,2025-09-11,2025-12-01,JED,RUH,JED-RUH,Website,One-way,Business,Basic,3,783,111,894,81,Yes,46–90 days
B00212,C0255,2025-03-31,2025-06-17,TBS,RUH,TBS-RUH,Website,One-way,Leisure,No membership,1,728,95,823,78,No,46–90 days
B00213,C0167,2025-01-16,2025-03-15,CAI,JED,CAI-JED,Website,Return,Leisure,Basic,1,611,83,694,58,Yes,46–90 days
B00214,C0108,2025-10-04,2025-10-14,RUH,DXB,RUH-DXB,Online Travel Agency,Return,Leisure,No membership,1,565,57,622,10,Yes,8–21 days
B00215,C0043,2025-10-06,2025-11-11,RUH,JED,RUH-JED,Website,One-way,Leisure,Silver,1,242,134,376,36,Yes,22–45 days
B00216,C0053,2025-03-10,2025-03-12,DXB,RUH,DXB-RUH,Website,One-way,Visiting friends and relatives,Silver,2,1212,169,1381,2,Yes,1–7 days
B00217,C0082,2025-01-12,2025-03-13,RUH,TBS,RUH-TBS,Mobile App,Return,Visiting friends and relatives,Basic,1,676,63,739,60,Yes,46–90 days
B00218,C0222,2025-09-13,2025-10-09,TBS,RUH,TBS-RUH,Mobile App,One-way,Business,No membership,1,752,71,823,26,Yes,22–45 days
B00219,C0303,2025-01-15,2025-03-26,JED,RUH,JED-RUH,Mobile App,Return,Leisure,Gold,1,255,95,350,70,Yes,46–90 days
B00220,C0157,2025-09-22,2025-11-15,JED,CAI,JED-CAI,Website,Return,Leisure,Basic,1,567,68,635,54,Yes,46–90 days
B00221,C0146,2025-02-20,2025-03-17,RUH,TBS,RUH-TBS,Travel Agent,Return,Leisure,No membership,2,1391,108,1499,25,Yes,22–45 days
B00222,C0259,2025-01-26,2025-02-27,JED,DMM,JED-DMM,Website,Return,Visiting friends and relatives,Basic,1,293,119,412,32,Yes,22–45 days
B00223,C0243,2025-05-13,2025-06-17,DMM,JED,DMM-JED,Online Travel Agency,One-way,Leisure,No membership,1,275,50,325,35,Yes,22–45 days
B00224,C0172,2025-11-20,2026-02-13,RUH,JED,RUH-JED,Mobile App,Return,Visiting friends and relatives,Basic,1,248,132,380,85,Yes,46–90 days
B00225,C0168,2025-10-16,2025-12-28,RUH,DXB,RUH-DXB,Website,One-way,Leisure,No membership,1,520,70,590,73,Yes,46–90 days
B00226,C0192,2025-05-27,2025-07-28,CAI,JED,CAI-JED,Mobile App,One-way,Business,Basic,1,639,76,715,62,Yes,46–90 days
B00227,C0225,2025-11-14,2026-01-27,CAI,JED,CAI-JED,Website,Return,Leisure,No membership,2,1154,171,1325,74,No,46–90 days
B00228,C0054,2025-11-20,2025-12-12,JED,CAI,JED-CAI,Online Travel Agency,One-way,Leisure,Basic,4,2291,209,2500,22,Yes,22–45 days
B00229,C0302,2025-05-19,2025-06-06,JED,RUH,JED-RUH,Website,Return,Leisure,No membership,3,858,379,1237,18,No,8–21 days
B00230,C0028,2025-07-19,2025-09-20,JED,DMM,JED-DMM,Website,One-way,Leisure,Silver,3,849,390,1239,63,Yes,46–90 days
B00231,C0157,2025-11-12,2025-11-18,JED,RUH,JED-RUH,Website,One-way,Leisure,No membership,3,1098,227,1325,6,Yes,1–7 days
B00232,C0107,2025-08-22,2025-10-23,DMM,JED,DMM-JED,Website,One-way,Leisure,No membership,2,573,249,822,62,Yes,46–90 days
B00233,C0042,2025-07-25,2025-08-28,RUH,JED,RUH-JED,Website,Return,Leisure,No membership,1,236,96,332,34,Yes,22–45 days
B00234,C0108,2025-03-11,2025-05-05,JED,RUH,JED-RUH,Mobile App,Return,Business,Basic,1,283,83,366,55,Yes,46–90 days
B00235,C0269,2025-01-16,2025-04-01,RUH,TBS,RUH-TBS,Online Travel Agency,One-way,Business,Basic,1,697,54,751,75,Yes,46–90 days
B00236,C0015,2025-05-04,2025-07-25,TBS,RUH,TBS-RUH,Website,Return,Leisure,Basic,1,720,117,837,82,Yes,46–90 days
B00237,C0143,2025-06-04,2025-06-28,CAI,JED,CAI-JED,Online Travel Agency,One-way,Leisure,Basic,1,594,73,667,24,Yes,22–45 days
B00238,C0263,2025-04-26,2025-04-28,CAI,JED,CAI-JED,Website,Return,Leisure,Basic,1,860,123,983,2,Yes,1–7 days
B00239,C0094,2025-01-05,2025-01-28,DMM,JED,DMM-JED,Mobile App,Return,Leisure,Basic,2,514,120,634,23,Yes,22–45 days
B00240,C0038,2025-01-15,2025-03-18,JED,CAI,JED-CAI,Website,Return,Visiting friends and relatives,Basic,1,611,128,739,62,Yes,46–90 days
B00241,C0089,2025-10-09,2025-10-19,JED,DMM,JED-DMM,Website,One-way,Leisure,No membership,1,315,69,384,10,Yes,8–21 days
B00242,C0163,2025-04-10,2025-04-13,RUH,IST,RUH-IST,Website,One-way,Leisure,No membership,2,2227,135,2362,3,Yes,1–7 days
B00243,C0296,2025-01-28,2025-04-10,JED,CAI,JED-CAI,Mobile App,One-way,Business,No membership,1,660,67,727,72,No,46–90 days
B00244,C0275,2025-05-31,2025-08-09,TBS,RUH,TBS-RUH,Website,Return,Visiting friends and relatives,Basic,2,1410,209,1619,70,Yes,46–90 days
B00245,C0191,2025-05-27,2025-07-02,JED,RUH,JED-RUH,Mobile App,Return,Leisure,Basic,1,260,69,329,36,Yes,22–45 days
B00246,C0217,2025-12-04,2026-01-15,RUH,DXB,RUH-DXB,Website,Return,Business,No membership,1,468,64,532,42,No,22–45 days
B00247,C0212,2025-08-30,2025-09-15,RUH,DXB,RUH-DXB,Website,One-way,Visiting friends and relatives,Basic,1,538,141,679,16,Yes,8–21 days
B00248,C0159,2025-11-30,2025-12-01,JED,DMM,JED-DMM,Travel Agent,Return,Leisure,Basic,1,436,51,487,1,Yes,1–7 days
B00249,C0145,2025-11-16,2026-01-05,JED,RUH,JED-RUH,Mobile App,Return,Leisure,Silver,1,275,129,404,50,Yes,46–90 days
B00250,C0321,2025-05-21,2025-06-18,RUH,DXB,RUH-DXB,Website,Return,Business,Basic,2,1067,88,1155,28,Yes,22–45 days
B00251,C0116,2025-02-25,2025-05-22,CAI,JED,CAI-JED,Mobile App,One-way,Leisure,Basic,2,1351,227,1578,86,Yes,46–90 days
B00252,C0272,2025-10-27,2025-12-07,IST,RUH,IST-RUH,Website,One-way,Visiting friends and relatives,No membership,1,766,144,910,41,No,22–45 days
B00253,C0291,2025-12-01,2025-12-28,DXB,RUH,DXB-RUH,Mobile App,One-way,Leisure,Basic,1,442,67,509,27,Yes,22–45 days
B00254,C0247,2025-12-06,2026-02-01,JED,DMM,JED-DMM,Mobile App,One-way,Business,No membership,1,285,64,349,57,No,46–90 days
B00255,C0005,2025-03-30,2025-06-23,JED,DMM,JED-DMM,Online Travel Agency,Return,Leisure,Silver,2,600,260,860,85,Yes,46–90 days
B00256,C0128,2025-02-01,2025-02-04,DMM,JED,DMM-JED,Website,Return,Leisure,No membership,1,396,71,467,3,Yes,1–7 days
B00257,C0324,2025-01-13,2025-02-15,RUH,TBS,RUH-TBS,Online Travel Agency,One-way,Business,No membership,3,2033,189,2222,33,Yes,22–45 days
B00258,C0280,2025-07-23,2025-09-17,RUH,JED,RUH-JED,Website,One-way,Leisure,Basic,3,863,311,1174,56,Yes,46–90 days
B00259,C0044,2025-03-16,2025-05-11,DMM,JED,DMM-JED,Website,One-way,Leisure,No membership,2,571,153,724,56,Yes,46–90 days
B00260,C0316,2025-03-22,2025-04-26,IST,RUH,IST-RUH,Website,Return,Leisure,Basic,2,1615,99,1714,35,Yes,22–45 days
B00261,C0158,2025-03-06,2025-05-08,RUH,DXB,RUH-DXB,Website,One-way,Visiting friends and relatives,No membership,3,1450,280,1730,63,Yes,46–90 days
B00262,C0289,2025-07-31,2025-08-20,DMM,JED,DMM-JED,Website,One-way,Visiting friends and relatives,No membership,1,325,85,410,20,No,8–21 days
B00263,C0258,2025-11-22,2025-11-24,RUH,TBS,RUH-TBS,Mobile App,One-way,Business,Basic,1,1014,44,1058,2,Yes,1–7 days
B00264,C0155,2025-11-22,2026-02-03,RUH,TBS,RUH-TBS,Mobile App,Return,Leisure,Silver,1,736,135,871,73,Yes,46–90 days
B00265,C0154,2025-06-28,2025-07-11,JED,DMM,JED-DMM,Mobile App,One-way,Visiting friends and relatives,Gold,1,321,185,506,13,Yes,8–21 days
B00266,C0275,2025-02-08,2025-03-23,RUH,TBS,RUH-TBS,Mobile App,Return,Business,Basic,1,677,52,729,43,Yes,22–45 days
B00267,C0280,2025-11-20,2026-02-10,TBS,RUH,TBS-RUH,Website,Return,Leisure,No membership,2,1327,136,1463,82,Yes,46–90 days
B00268,C0116,2025-03-21,2025-04-18,DXB,RUH,DXB-RUH,Online Travel Agency,Return,Business,Basic,1,525,59,584,28,Yes,22–45 days
B00269,C0105,2025-04-23,2025-06-14,TBS,RUH,TBS-RUH,Mobile App,One-way,Visiting friends and relatives,Basic,2,1440,134,1574,52,Yes,46–90 days
B00270,C0037,2025-03-04,2025-04-13,RUH,DXB,RUH-DXB,Website,Return,Leisure,No membership,1,544,92,636,40,Yes,22–45 days
B00271,C0060,2025-10-25,2025-12-11,RUH,TBS,RUH-TBS,Website,One-way,Leisure,No membership,1,741,112,853,47,Yes,46–90 days
B00272,C0047,2025-07-01,2025-07-20,RUH,TBS,RUH-TBS,Online Travel Agency,One-way,Leisure,No membership,1,931,87,1018,19,Yes,8–21 days
B00273,C0293,2025-08-09,2025-09-04,DXB,RUH,DXB-RUH,Travel Agent,Return,Business,Gold,3,1440,189,1629,26,Yes,22–45 days
B00274,C0152,2025-12-26,2026-03-21,CAI,JED,CAI-JED,Website,Return,Leisure,Basic,2,1243,198,1441,85,Yes,46–90 days
B00275,C0186,2025-05-04,2025-06-13,RUH,TBS,RUH-TBS,Website,One-way,Visiting friends and relatives,Basic,2,1474,274,1748,40,Yes,22–45 days
B00276,C0220,2025-05-03,2025-07-01,JED,CAI,JED-CAI,Mobile App,Return,Leisure,Basic,1,550,81,631,59,Yes,46–90 days
B00277,C0087,2025-07-18,2025-10-09,RUH,IST,RUH-IST,Online Travel Agency,One-way,Business,Silver,1,911,58,969,83,Yes,46–90 days
B00278,C0157,2025-09-11,2025-09-27,JED,DMM,JED-DMM,Website,Return,Business,No membership,1,346,76,422,16,Yes,8–21 days
B00279,C0300,2025-12-03,2026-02-13,JED,CAI,JED-CAI,Mobile App,Return,Leisure,Silver,1,653,84,737,72,Yes,46–90 days
B00280,C0257,2025-07-04,2025-09-17,DXB,RUH,DXB-RUH,Mobile App,Return,Leisure,Basic,1,534,111,645,75,Yes,46–90 days
B00281,C0038,2025-05-31,2025-06-08,RUH,TBS,RUH-TBS,Website,Return,Visiting friends and relatives,Silver,4,3179,589,3768,8,Yes,8–21 days
B00282,C0175,2025-09-20,2025-10-20,RUH,IST,RUH-IST,Website,One-way,Visiting friends and relatives,Basic,2,1618,147,1765,30,Yes,22–45 days
B00283,C0321,2025-02-09,2025-04-06,DMM,JED,DMM-JED,Mobile App,One-way,Business,No membership,2,535,135,670,56,No,46–90 days
B00284,C0160,2025-03-07,2025-05-13,TBS,RUH,TBS-RUH,Website,One-way,Leisure,No membership,1,699,102,801,67,Yes,46–90 days
B00285,C0149,2025-10-01,2025-11-30,DMM,JED,DMM-JED,Website,Return,Leisure,Basic,1,263,66,329,60,Yes,46–90 days
B00286,C0178,2025-03-20,2025-03-28,JED,DMM,JED-DMM,Website,Return,Leisure,No membership,1,338,73,411,8,No,8–21 days
B00287,C0062,2025-06-26,2025-08-19,RUH,JED,RUH-JED,Website,One-way,Visiting friends and relatives,Basic,1,246,104,350,54,Yes,46–90 days
B00288,C0230,2025-07-30,2025-10-07,JED,DMM,JED-DMM,Online Travel Agency,Return,Visiting friends and relatives,Basic,3,843,314,1157,69,Yes,46–90 days
B00289,C0250,2025-12-11,2026-02-13,JED,CAI,JED-CAI,Mobile App,One-way,Leisure,No membership,2,1099,186,1285,64,Yes,46–90 days
B00290,C0259,2025-05-11,2025-08-04,RUH,DXB,RUH-DXB,Website,One-way,Leisure,Basic,2,1033,155,1188,85,Yes,46–90 days
B00291,C0122,2025-11-06,2025-11-23,JED,DMM,JED-DMM,Mobile App,Return,Visiting friends and relatives,Basic,1,334,106,440,17,Yes,8–21 days
B00292,C0211,2025-05-01,2025-05-31,JED,RUH,JED-RUH,Mobile App,One-way,Leisure,Basic,1,270,73,343,30,Yes,22–45 days
B00293,C0223,2025-12-15,2026-02-21,DXB,RUH,DXB-RUH,Website,Return,Leisure,Basic,2,1049,103,1152,68,Yes,46–90 days
B00294,C0267,2025-10-20,2025-11-10,RUH,TBS,RUH-TBS,Mobile App,One-way,Leisure,No membership,2,1720,103,1823,21,No,8–21 days
B00295,C0304,2025-08-12,2025-09-12,JED,DMM,JED-DMM,Travel Agent,One-way,Leisure,No membership,2,670,215,885,31,No,22–45 days
B00296,C0266,2025-03-24,2025-05-06,TBS,RUH,TBS-RUH,Mobile App,Return,Business,Basic,1,737,64,801,43,Yes,22–45 days
B00297,C0118,2025-08-17,2025-10-02,IST,RUH,IST-RUH,Website,Return,Leisure,Basic,1,812,61,873,46,Yes,46–90 days
B00298,C0244,2025-06-23,2025-09-16,JED,CAI,JED-CAI,Website,Return,Visiting friends and relatives,No membership,1,564,140,704,85,No,46–90 days
B00299,C0295,2025-03-13,2025-04-04,IST,RUH,IST-RUH,Mobile App,One-way,Leisure,No membership,1,730,87,817,22,No,22–45 days
B00300,C0290,2025-05-04,2025-06-22,JED,DMM,JED-DMM,Website,One-way,Visiting friends and relatives,Silver,2,603,212,815,49,Yes,46–90 days
B00301,C0238,2025-12-27,2025-12-28,IST,RUH,IST-RUH,Website,One-way,Leisure,No membership,2,2293,166,2459,1,No,1–7 days
B00302,C0280,2025-04-06,2025-05-13,RUH,TBS,RUH-TBS,Mobile App,One-way,Visiting friends and relatives,No membership,1,690,135,825,37,No,22–45 days
B00303,C0148,2025-10-23,2025-12-25,JED,CAI,JED-CAI,Mobile App,Return,Visiting friends and relatives,No membership,1,569,60,629,63,Yes,46–90 days
B00304,C0301,2025-11-18,2025-11-21,RUH,JED,RUH-JED,Mobile App,Return,Leisure,No membership,1,322,82,404,3,No,1–7 days
B00305,C0103,2025-06-03,2025-08-18,RUH,IST,RUH-IST,Website,One-way,Leisure,No membership,1,875,73,948,76,Yes,46–90 days
B00306,C0003,2025-05-08,2025-06-21,CAI,JED,CAI-JED,Travel Agent,One-way,Leisure,No membership,1,633,78,711,44,Yes,22–45 days
B00307,C0129,2025-03-26,2025-05-04,RUH,IST,RUH-IST,Mobile App,One-way,Leisure,Basic,2,1685,158,1843,39,Yes,22–45 days
B00308,C0073,2025-09-25,2025-10-15,JED,RUH,JED-RUH,Mobile App,One-way,Visiting friends and relatives,No membership,2,647,221,868,20,Yes,8–21 days
B00309,C0087,2025-03-06,2025-05-11,RUH,JED,RUH-JED,Mobile App,One-way,Leisure,Basic,4,1058,505,1563,66,Yes,46–90 days
B00310,C0147,2025-12-22,2026-01-24,JED,RUH,JED-RUH,Mobile App,Return,Leisure,No membership,1,253,100,353,33,Yes,22–45 days
B00311,C0330,2025-04-20,2025-05-28,IST,RUH,IST-RUH,Website,Return,Leisure,Silver,2,1593,254,1847,38,Yes,22–45 days
B00312,C0142,2025-11-06,2026-02-01,RUH,TBS,RUH-TBS,Website,Return,Visiting friends and relatives,Basic,1,682,127,809,87,Yes,46–90 days
B00313,C0330,2025-06-07,2025-07-24,DMM,JED,DMM-JED,Mobile App,Return,Visiting friends and relatives,Basic,1,274,86,360,47,Yes,46–90 days
B00314,C0159,2025-02-17,2025-02-21,TBS,RUH,TBS-RUH,Mobile App,Return,Leisure,Basic,1,915,116,1031,4,Yes,1–7 days
B00315,C0108,2025-03-20,2025-04-15,DMM,JED,DMM-JED,Website,One-way,Leisure,Basic,1,287,86,373,26,Yes,22–45 days
B00316,C0310,2025-01-03,2025-01-04,JED,CAI,JED-CAI,Online Travel Agency,One-way,Business,Gold,2,1749,114,1863,1,Yes,1–7 days
B00317,C0082,2025-07-14,2025-08-02,JED,CAI,JED-CAI,Website,One-way,Leisure,Silver,1,745,121,866,19,Yes,8–21 days
B00318,C0101,2025-06-01,2025-08-05,JED,CAI,JED-CAI,Online Travel Agency,Return,Business,Basic,1,652,43,695,65,Yes,46–90 days
B00319,C0238,2025-05-05,2025-06-23,JED,DMM,JED-DMM,Online Travel Agency,Return,Business,No membership,2,538,151,689,49,No,46–90 days
B00320,C0090,2025-06-17,2025-09-13,RUH,DXB,RUH-DXB,Mobile App,Return,Business,No membership,3,1483,177,1660,88,Yes,46–90 days
B00321,C0284,2025-02-24,2025-05-21,JED,DMM,JED-DMM,Travel Agent,One-way,Business,Gold,3,958,145,1103,86,Yes,46–90 days
B00322,C0036,2025-04-28,2025-05-13,DMM,JED,DMM-JED,Website,One-way,Visiting friends and relatives,Basic,2,677,252,929,15,Yes,8–21 days
B00323,C0047,2025-01-15,2025-02-09,RUH,JED,RUH-JED,Website,One-way,Visiting friends and relatives,Basic,3,811,392,1203,25,Yes,22–45 days
B00324,C0178,2025-07-24,2025-10-02,JED,DMM,JED-DMM,Website,One-way,Leisure,No membership,3,820,370,1190,70,No,46–90 days
B00325,C0160,2025-03-20,2025-05-23,JED,RUH,JED-RUH,Travel Agent,Return,Visiting friends and relatives,Basic,1,262,110,372,64,Yes,46–90 days
B00326,C0297,2025-01-12,2025-02-01,RUH,TBS,RUH-TBS,Website,Return,Leisure,No membership,1,863,106,969,20,No,8–21 days
B00327,C0093,2025-03-26,2025-04-28,RUH,TBS,RUH-TBS,Online Travel Agency,One-way,Leisure,Basic,1,699,71,770,33,Yes,22–45 days
B00328,C0243,2025-06-05,2025-06-19,RUH,IST,RUH-IST,Mobile App,One-way,Business,Silver,3,2843,125,2968,14,Yes,8–21 days
B00329,C0245,2025-07-23,2025-09-04,JED,DMM,JED-DMM,Online Travel Agency,One-way,Leisure,No membership,1,268,108,376,43,No,22–45 days
B00330,C0239,2025-03-04,2025-05-25,DXB,RUH,DXB-RUH,Mobile App,One-way,Visiting friends and relatives,Basic,2,897,162,1059,82,Yes,46–90 days
B00331,C0199,2025-01-30,2025-03-25,JED,CAI,JED-CAI,Website,One-way,Visiting friends and relatives,Basic,2,1314,283,1597,54,Yes,46–90 days
B00332,C0097,2025-11-07,2026-01-15,JED,CAI,JED-CAI,Online Travel Agency,Return,Leisure,Silver,2,1384,244,1628,69,Yes,46–90 days
B00333,C0207,2025-11-30,2026-02-11,RUH,IST,RUH-IST,Travel Agent,One-way,Visiting friends and relatives,Basic,1,908,125,1033,73,Yes,46–90 days
B00334,C0103,2025-03-13,2025-05-12,RUH,IST,RUH-IST,Mobile App,One-way,Leisure,Silver,1,782,80,862,60,Yes,46–90 days
B00335,C0126,2025-07-26,2025-08-09,DXB,RUH,DXB-RUH,Website,Return,Business,No membership,4,2096,310,2406,14,Yes,8–21 days
B00336,C0289,2025-03-22,2025-04-03,JED,CAI,JED-CAI,Mobile App,One-way,Leisure,No membership,1,669,91,760,12,No,8–21 days
B00337,C0005,2025-03-08,2025-05-20,JED,CAI,JED-CAI,Website,One-way,Leisure,Basic,2,1359,177,1536,73,Yes,46–90 days
B00338,C0313,2025-01-21,2025-01-28,JED,CAI,JED-CAI,Website,Return,Leisure,Gold,2,1540,303,1843,7,Yes,1–7 days
B00339,C0151,2025-11-18,2025-12-11,DMM,JED,DMM-JED,Online Travel Agency,Return,Leisure,Basic,3,834,325,1159,23,Yes,22–45 days
B00340,C0262,2025-03-05,2025-05-09,RUH,IST,RUH-IST,Mobile App,Return,Leisure,Basic,1,826,94,920,65,Yes,46–90 days
B00341,C0145,2025-05-01,2025-07-14,CAI,JED,CAI-JED,Website,One-way,Leisure,Silver,4,2359,318,2677,74,Yes,46–90 days
B00342,C0127,2025-01-17,2025-02-22,IST,RUH,IST-RUH,Online Travel Agency,Return,Visiting friends and relatives,Basic,3,2428,189,2617,36,Yes,22–45 days
B00343,C0185,2025-12-19,2026-02-22,RUH,DXB,RUH-DXB,Mobile App,Return,Leisure,Basic,3,1538,329,1867,65,Yes,46–90 days
B00344,C0204,2025-05-20,2025-05-21,DXB,RUH,DXB-RUH,Website,One-way,Business,No membership,1,674,52,726,1,No,1–7 days
B00345,C0158,2025-08-03,2025-09-10,RUH,IST,RUH-IST,Mobile App,One-way,Leisure,Basic,1,717,62,779,38,Yes,22–45 days
B00346,C0325,2025-09-02,2025-09-27,IST,RUH,IST-RUH,Mobile App,One-way,Leisure,Basic,1,856,96,952,25,Yes,22–45 days
B00347,C0304,2025-12-04,2026-01-25,TBS,RUH,TBS-RUH,Website,One-way,Leisure,No membership,2,1304,138,1442,52,No,46–90 days
B00348,C0321,2025-01-27,2025-03-26,DXB,RUH,DXB-RUH,Online Travel Agency,Return,Leisure,No membership,2,1011,238,1249,58,No,46–90 days
B00349,C0186,2025-02-21,2025-04-11,CAI,JED,CAI-JED,Mobile App,One-way,Leisure,No membership,1,661,62,723,49,No,46–90 days
B00350,C0215,2025-12-25,2026-01-19,RUH,JED,RUH-JED,Online Travel Agency,Return,Leisure,Basic,2,536,105,641,25,Yes,22–45 days
B00351,C0140,2025-07-14,2025-08-22,DXB,RUH,DXB-RUH,Website,Return,Leisure,Basic,1,489,122,611,39,Yes,22–45 days
B00352,C0030,2025-10-05,2025-11-14,IST,RUH,IST-RUH,Mobile App,One-way,Leisure,No membership,1,867,73,940,40,Yes,22–45 days
B00353,C0062,2025-10-10,2025-10-11,JED,DMM,JED-DMM,Website,Return,Leisure,Silver,3,1236,219,1455,1,Yes,1–7 days
B00354,C0186,2025-03-27,2025-06-14,JED,DMM,JED-DMM,Mobile App,One-way,Leisure,No membership,1,279,60,339,79,Yes,46–90 days
B00355,C0310,2025-04-05,2025-04-11,TBS,RUH,TBS-RUH,Mobile App,Return,Leisure,Basic,3,2615,311,2926,6,Yes,1–7 days
B00356,C0149,2025-01-08,2025-02-06,RUH,DXB,RUH-DXB,Website,One-way,Leisure,Basic,1,453,103,556,29,Yes,22–45 days
B00357,C0224,2025-12-26,2026-03-25,IST,RUH,IST-RUH,Travel Agent,Return,Leisure,Basic,1,804,89,893,89,Yes,46–90 days
B00358,C0139,2025-12-07,2026-01-07,IST,RUH,IST-RUH,Website,Return,Visiting friends and relatives,Basic,1,829,85,914,31,Yes,22–45 days
B00359,C0196,2025-11-06,2026-01-22,JED,CAI,JED-CAI,Website,One-way,Leisure,No membership,1,623,122,745,77,No,46–90 days
B00360,C0133,2025-04-15,2025-06-10,DMM,JED,DMM-JED,Website,One-way,Leisure,Basic,1,283,61,344,56,Yes,46–90 days
B00361,C0174,2025-03-10,2025-03-31,RUH,IST,RUH-IST,Mobile App,One-way,Visiting friends and relatives,No membership,1,1008,117,1125,21,No,8–21 days
B00362,C0228,2025-01-15,2025-04-04,JED,RUH,JED-RUH,Mobile App,Return,Visiting friends and relatives,Basic,2,515,233,748,79,Yes,46–90 days
